ENT_FED,MUNICIPIO,ESTRATO,ENT_FED_SEXO,UP_TOTAL,UP_PERS_FISIC,P_UP_PERS_CIS,P_PFISIC_PROD,P_PROD_PRESC,P_PROD_PRIM,P_PROD_SEC,P_PROD_BACH,P_PROD_TEC,P_PROD_LIC,P_PROD_POSTG,P_PROD_NOSABE,P_PROD_SINEST
29 TLA,Nanacamilpa de Mariano Arista,,  Nanacamilpa De Mariano Arista,1338.0,1333.0,65.26631657914479,1.4446138400327222,0.1287001287001287,47.361647361647364,25.61132561132561,9.652509652509652,0.9009009009009009,5.405405405405405,0.3861003861003861,0.2574002574002574,10.296010296010296
29 TLA,Nanacamilpa de Mariano Arista,Hombres,    Hombres,0.0,1090.0,66.42201834862385,82.23938223938224,0.1564945226917058,47.417840375586856,26.760563380281692,9.859154929577464,0.6259780907668232,5.633802816901408,0.3129890453834116,0.1564945226917058,9.076682316118935
29 TLA,Nanacamilpa de Mariano Arista,Mujeres,    Mujeres   ,0.0,243.0,60.08230452674897,17.76061776061776,0.0,47.10144927536232,20.28985507246377,8.695652173913043,2.1739130434782608,4.3478260869565215,0.7246376811594203,0.7246376811594203,15.942028985507246
29 TLA,Acuamanala de Miguel Hidalgo,,  Acuamanala De Miguel Hidalgo,733.0,733.0,53.20600272851296,0.7083627709812963,0.0,39.63254593175853,40.68241469816273,9.186351706036746,1.0498687664041995,5.511811023622047,0.0,0.0,3.937007874015748
29 TLA,Acuamanala de Miguel Hidalgo,Hombres,    Hombres,0.0,553.0,52.44122965641953,74.01574803149606,0.0,37.5886524822695,39.716312056737586,10.638297872340425,1.4184397163120568,6.028368794326241,0.0,0.0,4.609929078014185
29 TLA,Acuamanala de Miguel Hidalgo,Mujeres,    Mujeres   ,0.0,180.0,55.55555555555556,25.984251968503937,0.0,45.45454545454545,43.43434343434343,5.05050505050505,0.0,4.040404040404041,0.0,0.0,2.0202020202020203
29 TLA,Natívitas,,  Natívitas,4734.0,4732.0,52.68385460693153,4.14977875283531,0.13440860215053763,42.876344086021504,27.240143369175627,11.693548387096774,2.3745519713261647,11.827956989247312,0.26881720430107525,0.0,3.5842293906810037
29 TLA,Natívitas,Hombres,    Hombres,0.0,3793.0,52.96598998154495,79.6146953405018,0.056274620146314014,40.46145188519977,29.262802476083287,12.77433877321328,2.6449071468767587,11.705120990433315,0.28137310073157007,0.0,2.8137310073157007
29 TLA,Natívitas,Mujeres,    Mujeres   ,0.0,939.0,51.54419595314164,20.385304659498207,0.43956043956043955,52.30769230769231,19.34065934065934,7.472527472527473,1.3186813186813187,12.307692307692308,0.21978021978021978,0.0,6.593406593406593
29 TLA,Panotla,,  Panotla,3482.0,3478.0,58.1943645773433,3.5139255568363517,0.31746031746031744,32.48677248677249,30.793650793650794,11.26984126984127,2.1693121693121693,19.25925925925926,0.7936507936507936,0.05291005291005291,2.857142857142857
29 TLA,Panotla,Hombres,    Hombres,0.0,2664.0,58.633633633633636,76.34920634920636,0.2772002772002772,32.085932085932086,30.56133056133056,11.781011781011781,2.0097020097020097,20.374220374220375,0.8316008316008316,0.0,2.079002079002079
29 TLA,Panotla,Mujeres,    Mujeres   ,0.0,814.0,56.75675675675676,23.650793650793652,0.44742729306487694,33.78076062639821,31.543624161073826,9.619686800894854,2.684563758389262,15.659955257270694,0.6711409395973155,0.22371364653243847,5.369127516778524
29 TLA,San Pablo del Monte,,  San Pablo Del Monte,2646.0,2645.0,62.83553875236295,2.8929461198081285,0.06426735218508997,49.03598971722365,19.47300771208226,4.948586118251928,0.9640102827763496,3.6632390745501286,0.2570694087403599,0.0,21.59383033419023
29 TLA,San Pablo del Monte,Hombres,    Hombres,0.0,1859.0,59.010220548682085,66.19537275064268,0.0970873786407767,50.0,22.038834951456312,6.116504854368932,1.0679611650485437,4.466019417475728,0.3883495145631068,0.0,15.825242718446601
29 TLA,San Pablo del Monte,Mujeres,    Mujeres   ,0.0,786.0,71.88295165394402,33.804627249357324,0.0,47.148288973384034,14.448669201520913,2.661596958174905,0.7604562737642585,2.091254752851711,0.0,0.0,32.88973384030418
29 TLA,Santa Cruz Tlaxcala,,  Santa Cruz Tlaxcala,1046.0,1046.0,81.07074569789675,1.4074294426058827,0.5284015852047557,47.42404227212682,24.438573315719946,12.417437252311757,3.038309114927345,7.926023778071334,0.7926023778071334,0.13210039630118892,3.3025099075297226
29 TLA,Santa Cruz Tlaxcala,Hombres,    Hombres,0.0,763.0,79.94757536041939,71.20211360634082,0.5565862708719852,45.640074211502785,25.41743970315399,13.543599257884972,2.968460111317254,9.090909090909092,0.9276437847866419,0.0,1.8552875695732838
29 TLA,Santa Cruz Tlaxcala,Mujeres,    Mujeres   ,0.0,283.0,84.09893992932862,28.79788639365918,0.45871559633027525,51.8348623853211,22.01834862385321,9.63302752293578,3.2110091743119265,5.045871559633028,0.45871559633027525,0.45871559633027525,6.8807339449541285
29 TLA,Tenancingo,,  Tenancingo,900.0,899.0,79.75528364849833,1.23638121444242,0.0,49.17293233082707,29.022556390977442,6.466165413533835,0.9022556390977443,5.56390977443609,0.15037593984962405,0.0,8.721804511278195
29 TLA,Tenancingo,Hombres,    Hombres,0.0,623.0,78.81219903691814,67.21804511278195,0.0,49.4407158836689,32.214765100671144,7.382550335570469,0.8948545861297539,4.250559284116331,0.22371364653243847,0.0,5.592841163310962
29 TLA,Tenancingo,Mujeres,    Mujeres   ,0.0,276.0,81.8840579710145,32.78195488721804,0.0,48.62385321100918,22.477064220183486,4.587155963302752,0.9174311926605505,8.256880733944953,0.0,0.0,15.137614678899082
29 TLA,Teolocholco,,  Teolocholco,1337.0,1337.0,83.24607329842932,1.965195404008478,0.28382213812677387,42.57332071901608,24.78713339640492,8.798486281929991,1.9867549668874172,9.271523178807946,0.47303689687795647,0.0,11.825922421948912
29 TLA,Teolocholco,Hombres,    Hombres,0.0,961.0,82.93444328824141,71.42857142857143,0.3973509933774834,41.45695364238411,25.29801324503311,10.860927152317881,1.7218543046357615,10.596026490066226,0.6622516556291391,0.0,9.006622516556291
29 TLA,Teolocholco,Mujeres,    Mujeres   ,0.0,376.0,84.04255319148936,28.571428571428573,0.0,45.36423841059602,23.509933774834437,3.642384105960265,2.6490066225165565,5.960264900662252,0.0,0.0,18.874172185430464
29 TLA,Tepeyanco,,  Tepeyanco,1155.0,1154.0,52.68630849220104,1.0783475253783512,0.1724137931034483,35.172413793103445,29.310344827586206,15.0,2.7586206896551726,15.517241379310345,0.8620689655172413,0.3448275862068966,0.8620689655172413
29 TLA,Tepeyanco,Hombres,    Hombres,0.0,909.0,56.65566556655666,85.17241379310344,0.20242914979757085,34.61538461538461,29.757085020242915,16.80161943319838,2.42914979757085,13.765182186234817,1.0121457489878543,0.4048582995951417,1.0121457489878543
29 TLA,Tepeyanco,Mujeres,    Mujeres   ,0.0,245.0,37.95918367346939,14.827586206896552,0.0,38.372093023255815,26.74418604651163,4.651162790697675,4.651162790697675,25.58139534883721,0.0,0.0,0.0
29 TLA,Terrenate,,  Terrenate,2098.0,2097.0,79.16070577014783,2.8539025025099467,0.39087947882736157,56.351791530944624,23.908794788273617,5.798045602605863,0.13029315960912052,2.41042345276873,0.26058631921824105,0.0,10.749185667752442
29 TLA,Terrenate,Hombres,    Hombres,0.0,1761.0,80.69278818852925,84.69055374592834,0.38461538461538464,57.53846153846154,24.0,6.076923076923077,0.07692307692307693,2.3076923076923075,0.23076923076923078,0.0,9.384615384615385
29 TLA,Terrenate,Mujeres,    Mujeres   ,0.0,336.0,71.13095238095238,15.309446254071661,0.425531914893617,49.787234042553195,23.404255319148938,4.25531914893617,0.425531914893617,2.978723404255319,0.425531914893617,0.0,18.29787234042553
29 TLA,Tetla de la Solidaridad,,  Tetla De La Solidaridad,2909.0,2904.0,76.5495867768595,3.6663815862863944,0.4056795131845842,46.39959432048681,30.324543610547668,8.417849898580121,1.7748478701825559,6.389452332657201,0.30425963488843816,0.0,5.983772819472617
29 TLA,Tetla de la Solidaridad,Hombres,    Hombres,0.0,2282.0,76.90622261174408,77.99188640973631,0.5201560468140443,46.29388816644993,30.884265279583875,8.712613784135241,1.6905071521456436,6.371911573472041,0.39011703511053314,0.0,5.136540962288686
29 TLA,Tetla de la Solidaridad,Mujeres,    Mujeres   ,0.0,622.0,75.2411575562701,22.00811359026369,0.0,46.774193548387096,28.341013824884794,7.373271889400922,2.0737327188940093,6.451612903225806,0.0,0.0,8.986175115207374
29 TLA,Tetlatlahuca,,  Tetlatlahuca,2044.0,2044.0,49.608610567514674,1.7643996579035437,0.1053740779768177,38.14541622760801,32.56059009483667,11.06427818756586,3.4773445732349844,12.644889357218124,0.6322444678609063,0.0,1.36986301369863
29 TLA,Tetlatlahuca,Hombres,    Hombres,0.0,1672.0,52.39234449760765,86.3013698630137,0.1221001221001221,36.63003663003663,34.18803418803419,11.477411477411477,3.2967032967032965,12.576312576312576,0.7326007326007326,0.0,0.9768009768009768
29 TLA,Tetlatlahuca,Mujeres,    Mujeres   ,0.0,372.0,37.096774193548384,13.698630136986301,0.0,47.69230769230769,22.307692307692307,8.461538461538462,4.615384615384615,13.076923076923077,0.0,0.0,3.8461538461538463
29 TLA,Tlaxcala,,  Tlaxcala,568.0,567.0,97.53086419753086,0.9686535529691741,0.19193857965451055,29.750479846449135,25.527831094049905,15.355086372360844,4.606525911708253,19.385796545105567,1.727447216890595,0.19193857965451055,3.2629558541266794
29 TLA,Tlaxcala,Hombres,    Hombres,0.0,449.0,97.55011135857461,79.07869481765835,0.24271844660194175,28.398058252427184,27.42718446601942,15.29126213592233,4.611650485436893,18.932038834951456,1.941747572815534,0.0,3.1553398058252426
29 TLA,Tlaxcala,Mujeres,    Mujeres   ,0.0,118.0,97.45762711864407,20.92130518234165,0.0,34.862385321100916,18.34862385321101,15.596330275229358,4.587155963302752,21.10091743119266,0.9174311926605505,0.9174311926605505,3.669724770642202
29 TLA,Tlaxco,,  Tlaxco,5117.0,5087.0,70.29683506978573,6.17260997285539,0.060240963855421686,51.08433734939759,25.783132530120483,7.198795180722891,0.9036144578313253,4.126506024096385,0.2710843373493976,0.0,10.572289156626505
29 TLA,Tlaxco,Hombres,    Hombres,0.0,4029.0,71.01017622238768,79.33734939759036,0.0,51.78435839028094,25.816249050873196,7.2513287775246775,0.7593014426727411,4.176157934700076,0.30372057706909644,0.0,9.90888382687927
29 TLA,Tlaxco,Mujeres,    Mujeres   ,0.0,1058.0,67.58034026465029,20.662650602409638,0.2915451895043732,48.39650145772595,25.65597667638484,6.997084548104956,1.4577259475218658,3.935860058309038,0.1457725947521866,0.0,13.119533527696793
29 TLA,Tocatlán,,  Tocatlán,315.0,314.0,86.62420382165605,0.38485851336779087,0.4830917874396135,46.3768115942029,31.40096618357488,13.526570048309178,0.4830917874396135,4.3478260869565215,0.4830917874396135,0.0,2.898550724637681
29 TLA,Tocatlán,Hombres,    Hombres,0.0,264.0,86.36363636363636,81.64251207729468,0.591715976331361,44.97041420118343,32.544378698224854,14.201183431952662,0.0,4.1420118343195265,0.591715976331361,0.0,2.9585798816568047
29 TLA,Tocatlán,Mujeres,    Mujeres   ,0.0,50.0,88.0,18.357487922705314,0.0,52.63157894736842,26.31578947368421,10.526315789473685,2.6315789473684212,5.2631578947368425,0.0,0.0,2.6315789473684212
29 TLA,Totolac,,  Totolac,244.0,243.0,92.18106995884774,0.38857695311047485,0.4784688995215311,23.923444976076556,27.751196172248804,15.789473684210526,3.349282296650718,24.880382775119617,2.3923444976076556,0.0,1.4354066985645932
29 TLA,Totolac,Hombres,    Hombres,0.0,198.0,93.93939393939394,82.29665071770334,0.5813953488372093,22.674418604651162,27.906976744186046,14.534883720930232,3.488372093023256,26.162790697674417,2.9069767441860463,0.0,1.744186046511628
29 TLA,Totolac,Mujeres,    Mujeres   ,0.0,45.0,84.44444444444444,17.70334928229665,0.0,29.72972972972973,27.027027027027028,21.62162162162162,2.7027027027027026,18.91891891891892,0.0,0.0,0.0
29 TLA,Ziltlaltépec de Trinidad Sánchez Santos,,  Ziltlaltépec De Trinidad Sánchez Santos,2363.0,2363.0,64.62124418112569,2.0135351206633696,0.7386888273314867,52.35457063711911,23.822714681440445,6.001846722068329,1.2927054478301017,5.724838411819022,0.2770083102493075,0.09233610341643583,9.695290858725762
