ENT_FED,MUNICIPIO,ESTRATO,ENT_FED_SEXO,UP_TOTAL,UP_PERS_FISIC,P_UP_PERS_CIS,P_PFISIC_PROD,P_SI_INDIG,P_INDIG_DIAL,P_INDIG_NO_DIAL,P_NO_INDIG,P_NO_INDIG_DIAL,P_NO_IND_NO_DIAL,P_PROD_AFRO
20 OAX,San Pedro Nopala,Mujeres,    Mujeres   ,0.0,75.0,90.66666666666667,34.895833333333336,92.53731343283582,3.225806451612903,96.7741935483871,7.462686567164179,0.0,100.0,0.0
20 OAX,San Pedro Ocopetatillo,,  San Pedro Ocopetatillo,191.0,190.0,99.47368421052632,0.054707813216937067,98.38709677419355,100.0,0.0,1.6129032258064515,100.0,0.0,0.0
20 OAX,San Pedro Ocopetatillo,Hombres,    Hombres,0.0,117.0,99.14529914529915,60.75268817204301,100.0,100.0,0.0,0.0,0.0,0.0,0.0
20 OAX,San Pedro Ocopetatillo,Mujeres,    Mujeres   ,0.0,73.0,100.0,39.24731182795699,95.89041095890411,100.0,0.0,4.109589041095891,100.0,0.0,0.0
20 OAX,San Pedro Ocotepec,,  San Pedro Ocotepec,320.0,320.0,100.0,0.09382684094732756,96.86520376175548,100.0,0.0,3.134796238244514,30.0,70.0,0.31347962382445144
20 OAX,San Pedro Ocotepec,Hombres,    Hombres,0.0,257.0,100.0,80.25078369905957,98.4375,100.0,0.0,1.5625,25.0,75.0,0.390625
20 OAX,San Pedro Ocotepec,Mujeres,    Mujeres   ,0.0,63.0,100.0,19.74921630094044,90.47619047619048,100.0,0.0,9.523809523809524,33.333333333333336,66.66666666666667,0.0
20 OAX,San Pedro Pochutla,,  San Pedro Pochutla,2359.0,2356.0,100.0,0.6906126098568185,39.56558773424191,26.58772874058127,73.41227125941873,60.43441226575809,1.409443269908386,98.59055673009162,4.045996592844975
20 OAX,San Pedro Pochutla,Hombres,    Hombres,0.0,1842.0,100.0,78.10902896081771,38.87677208287895,25.806451612903224,74.19354838709677,61.12322791712105,1.4272970561998215,98.57270294380018,3.980370774263904
20 OAX,San Pedro Pochutla,Mujeres,    Mujeres   ,0.0,514.0,100.0,21.890971039182283,42.023346303501945,29.166666666666668,70.83333333333333,57.976653696498055,1.342281879194631,98.65771812080537,4.280155642023346
20 OAX,San Pedro Quiatoni,,  San Pedro Quiatoni,2073.0,2073.0,98.45634346357936,0.5976681529936351,99.45866141732283,99.30727362691736,0.6927263730826324,0.5413385826771654,63.63636363636363,36.36363636363637,0.0
20 OAX,San Pedro Quiatoni,Hombres,    Hombres,0.0,1947.0,98.56189008731381,94.04527559055119,99.42438513867086,99.26315789473684,0.7368421052631579,0.5756148613291471,63.63636363636363,36.36363636363637,0.0
20 OAX,San Pedro Quiatoni,Mujeres,    Mujeres   ,0.0,126.0,96.82539682539682,5.9547244094488185,100.0,100.0,0.0,0.0,0.0,0.0,0.0
20 OAX,San Pedro Sochiápam,,  San Pedro Sochiápam,839.0,839.0,98.92729439809297,0.24383213525183242,99.03498190591074,94.27527405602923,5.724725943970768,0.9650180940892642,50.0,50.0,0.0
20 OAX,San Pedro Sochiápam,Hombres,    Hombres,0.0,643.0,98.9113530326594,76.59831121833534,99.05511811023622,93.79968203497616,6.200317965023848,0.9448818897637795,66.66666666666667,33.333333333333336,0.0
20 OAX,San Pedro Sochiápam,Mujeres,    Mujeres   ,0.0,196.0,98.9795918367347,23.401688781664657,98.96907216494846,95.83333333333333,4.166666666666667,1.0309278350515463,0.0,100.0,0.0
20 OAX,San Pedro Tapanatepec,,  San Pedro Tapanatepec,1785.0,1770.0,73.67231638418079,0.34736520112474556,81.87976291278578,7.34229576008273,92.65770423991727,18.120237087214225,1.8691588785046729,98.13084112149532,0.6773920406435224
20 OAX,San Pedro Tapanatepec,Hombres,    Hombres,0.0,1460.0,74.79452054794521,83.48856900931413,81.44016227180528,7.7210460772104605,92.27895392278954,18.559837728194726,2.185792349726776,97.81420765027322,0.5070993914807302
20 OAX,San Pedro Tapanatepec,Mujeres,    Mujeres   ,0.0,310.0,68.38709677419355,16.51143099068586,84.1025641025641,5.487804878048781,94.51219512195122,15.897435897435898,0.0,100.0,1.5384615384615385
20 OAX,San Pedro Taviche,,  San Pedro Taviche,212.0,211.0,100.0,0.062061013918138286,82.93838862559242,1.1428571428571428,98.85714285714286,17.061611374407583,0.0,100.0,0.0
20 OAX,San Pedro Taviche,Hombres,    Hombres,0.0,187.0,100.0,88.62559241706161,82.88770053475936,1.2903225806451613,98.70967741935483,17.112299465240643,0.0,100.0,0.0
20 OAX,San Pedro Taviche,Mujeres,    Mujeres   ,0.0,24.0,100.0,11.374407582938389,83.33333333333333,0.0,100.0,16.666666666666668,0.0,100.0,0.0
20 OAX,San Pedro Teozacoalco,,  San Pedro Teozacoalco,244.0,242.0,100.0,0.0705907267315317,68.75,4.848484848484849,95.15151515151516,31.25,2.6666666666666665,97.33333333333333,0.0
20 OAX,San Pedro Teozacoalco,Hombres,    Hombres,0.0,186.0,100.0,77.08333333333333,69.1891891891892,4.6875,95.3125,30.81081081081081,1.7543859649122806,98.24561403508773,0.0
20 OAX,San Pedro Teozacoalco,Mujeres,    Mujeres   ,0.0,56.0,100.0,22.916666666666668,67.27272727272727,5.405405405405405,94.5945945945946,32.72727272727273,5.555555555555555,94.44444444444444,0.0
20 OAX,San Pedro Teutila,,  San Pedro Teutila,779.0,775.0,99.2258064516129,0.2250079414567573,97.6470588235294,29.183400267737618,70.81659973226239,2.3529411764705883,5.555555555555555,94.44444444444444,0.26143790849673204
20 OAX,San Pedro Teutila,Hombres,    Hombres,0.0,700.0,99.28571428571429,90.32679738562092,97.39507959479016,28.974739970282318,71.02526002971769,2.6049204052098407,5.555555555555555,94.44444444444444,0.2894356005788712
20 OAX,San Pedro Teutila,Mujeres,    Mujeres   ,0.0,75.0,98.66666666666667,9.673202614379084,100.0,31.08108108108108,68.91891891891892,0.0,0.0,0.0,0.0
20 OAX,San Pedro Tidaá,,  San Pedro Tidaá,241.0,240.0,87.5,0.06176688589009024,97.61904761904762,59.02439024390244,40.97560975609756,2.380952380952381,20.0,80.0,0.0
20 OAX,San Pedro Tidaá,Hombres,    Hombres,0.0,167.0,88.02395209580838,70.0,97.95918367346938,55.55555555555556,44.44444444444444,2.0408163265306123,0.0,100.0,0.0
20 OAX,San Pedro Tidaá,Mujeres,    Mujeres   ,0.0,73.0,86.3013698630137,30.0,96.82539682539682,67.21311475409836,32.78688524590164,3.1746031746031744,50.0,50.0,0.0
20 OAX,San Pedro Topiltepec,,  San Pedro Topiltepec,137.0,137.0,72.99270072992701,0.029412802804804874,92.0,4.3478260869565215,95.65217391304348,8.0,0.0,100.0,0.0
20 OAX,San Pedro Topiltepec,Hombres,    Hombres,0.0,101.0,74.25742574257426,75.0,92.0,2.898550724637681,97.10144927536231,8.0,0.0,100.0,0.0
20 OAX,San Pedro Topiltepec,Mujeres,    Mujeres   ,0.0,36.0,69.44444444444444,25.0,92.0,8.695652173913043,91.30434782608695,8.0,0.0,100.0,0.0
20 OAX,San Pedro Totolápam,,  San Pedro Totolápam,334.0,334.0,88.32335329341318,0.08470887207783805,81.59722222222223,24.25531914893617,75.74468085106383,18.40277777777778,0.0,100.0,0.0
20 OAX,San Pedro Totolápam,Hombres,    Hombres,0.0,304.0,88.48684210526316,90.97222222222223,82.82442748091603,24.42396313364055,75.57603686635944,17.17557251908397,0.0,100.0,0.0
20 OAX,San Pedro Totolápam,Mujeres,    Mujeres   ,0.0,30.0,86.66666666666667,9.027777777777779,69.23076923076923,22.22222222222222,77.77777777777777,30.76923076923077,0.0,100.0,0.0
20 OAX,Villa de Tututepec,,  Villa De Tututepec,3209.0,3194.0,96.90043832185347,0.904737814275798,72.04161248374513,13.763537906137184,86.23646209386281,27.958387516254877,2.0930232558139537,97.90697674418605,13.881664499349805
20 OAX,Villa de Tututepec,Hombres,    Hombres,0.0,2668.0,96.81409295352324,83.4850455136541,72.66355140186916,13.77277599142551,86.2272240085745,27.33644859813084,2.421652421652422,97.57834757834758,12.889408099688474
20 OAX,Villa de Tututepec,Mujeres,    Mujeres   ,0.0,526.0,97.33840304182509,16.514954486345903,68.89763779527559,13.714285714285714,86.28571428571429,31.10236220472441,0.6329113924050633,99.36708860759494,18.89763779527559
20 OAX,San Pedro Yaneri,,  San Pedro Yaneri,197.0,197.0,100.0,0.057943221525465605,100.0,99.49238578680203,0.5076142131979695,0.0,0.0,0.0,0.0
20 OAX,San Pedro Yaneri,Hombres,    Hombres,0.0,176.0,100.0,89.34010152284264,100.0,100.0,0.0,0.0,0.0,0.0,0.0
20 OAX,San Pedro Yaneri,Mujeres,    Mujeres   ,0.0,21.0,100.0,10.65989847715736,100.0,95.23809523809524,4.761904761904762,0.0,0.0,0.0,0.0
20 OAX,San Pedro Yólox,,  San Pedro Yólox,349.0,349.0,100.0,0.10235655376072096,99.71264367816092,99.13544668587896,0.8645533141210374,0.28735632183908044,0.0,100.0,0.28735632183908044
20 OAX,San Pedro Yólox,Hombres,    Hombres,0.0,287.0,100.0,82.183908045977,99.65034965034965,98.94736842105263,1.0526315789473684,0.34965034965034963,0.0,100.0,0.34965034965034963
20 OAX,San Pedro Yólox,Mujeres,    Mujeres   ,0.0,62.0,100.0,17.816091954022987,100.0,100.0,0.0,0.0,0.0,0.0,0.0
20 OAX,San Pedro y San Pablo Ayutla,,  San Pedro Y San Pablo Ayutla,678.0,678.0,100.0,0.19941880301657705,98.67256637168141,99.70104633781764,0.29895366218236175,1.3274336283185841,66.66666666666667,33.333333333333336,0.14749262536873156
20 OAX,San Pedro y San Pablo Ayutla,Hombres,    Hombres,0.0,423.0,100.0,62.389380530973455,98.81796690307328,99.76076555023923,0.23923444976076555,1.1820330969267139,40.0,60.0,0.2364066193853428
20 OAX,San Pedro y San Pablo Ayutla,Mujeres,    Mujeres   ,0.0,255.0,100.0,37.610619469026545,98.43137254901961,99.60159362549801,0.398406374501992,1.5686274509803921,100.0,0.0,0.0
20 OAX,Villa de Etla,,  Villa De Etla,211.0,209.0,79.42583732057416,0.04529571631939951,65.58441558441558,30.693069306930692,69.3069306930693,34.41558441558441,5.660377358490566,94.33962264150944,0.0
20 OAX,Villa de Etla,Hombres,    Hombres,0.0,147.0,80.27210884353741,69.48051948051948,66.35514018691589,33.80281690140845,66.19718309859155,33.64485981308411,5.555555555555555,94.44444444444444,0.0
20 OAX,Villa de Etla,Mujeres,    Mujeres   ,0.0,62.0,77.41935483870968,30.51948051948052,63.829787234042556,23.333333333333332,76.66666666666667,36.170212765957444,5.882352941176471,94.11764705882354,0.0
20 OAX,San Pedro y San Pablo Teposcolula,,  San Pedro Y San Pablo Teposcolula,642.0,641.0,90.795631825273,0.17030012823982024,74.95682210708118,2.7649769585253456,97.23502304147465,25.043177892918827,1.3793103448275863,98.62068965517241,0.0
20 OAX,San Pedro y San Pablo Teposcolula,Hombres,    Hombres,0.0,494.0,90.89068825910931,77.20207253886011,74.27293064876957,3.0120481927710845,96.98795180722891,25.727069351230426,0.8695652173913043,99.1304347826087,0.0
20 OAX,San Pedro y San Pablo Teposcolula,Mujeres,    Mujeres   ,0.0,147.0,90.47619047619048,22.797927461139896,77.27272727272727,1.9607843137254901,98.03921568627452,22.727272727272727,3.3333333333333335,96.66666666666667,0.0
20 OAX,San Pedro y San Pablo Tequixtepec,,  San Pedro Y San Pablo Tequixtepec,351.0,250.0,96.4,0.07029659870348365,80.3347280334728,44.791666666666664,55.208333333333336,19.665271966527197,2.127659574468085,97.87234042553192,0.0
20 OAX,San Pedro y San Pablo Tequixtepec,Hombres,    Hombres,0.0,168.0,97.61904761904762,67.78242677824268,80.24691358024691,43.07692307692308,56.92307692307692,19.753086419753085,3.125,96.875,0.0
20 OAX,San Pedro y San Pablo Tequixtepec,Mujeres,    Mujeres   ,0.0,82.0,93.90243902439025,32.21757322175732,80.51948051948052,48.38709677419355,51.61290322580645,19.48051948051948,0.0,100.0,0.0
20 OAX,San Pedro Yucunama,,  San Pedro Yucunama,64.0,64.0,76.5625,0.01441227337435439,81.63265306122449,0.0,100.0,18.367346938775512,0.0,100.0,0.0
20 OAX,San Pedro Yucunama,Hombres,    Hombres,0.0,45.0,77.77777777777777,71.42857142857143,82.85714285714286,0.0,100.0,17.142857142857142,0.0,100.0,0.0
20 OAX,San Pedro Yucunama,Mujeres,    Mujeres   ,0.0,19.0,73.6842105263158,28.571428571428573,78.57142857142857,0.0,100.0,21.428571428571427,0.0,100.0,0.0
20 OAX,San Raymundo Jalpan,,  San Raymundo Jalpan,349.0,348.0,56.03448275862069,0.05529606927303317,72.34042553191489,17.647058823529413,82.3529411764706,27.659574468085108,7.6923076923076925,92.3076923076923,0.5319148936170213
20 OAX,San Raymundo Jalpan,Hombres,    Hombres,0.0,237.0,52.742616033755276,64.36170212765957,76.03305785123968,16.304347826086957,83.69565217391305,23.96694214876033,10.344827586206897,89.65517241379311,0.8264462809917356
20 OAX,San Raymundo Jalpan,Mujeres,    Mujeres   ,0.0,111.0,63.06306306306306,35.638297872340424,65.67164179104478,20.454545454545453,79.54545454545455,34.32835820895522,4.3478260869565215,95.65217391304348,0.0
20 OAX,San Sebastián Abasolo,,  San Sebastián Abasolo,684.0,684.0,61.54970760233918,0.10970975446192219,96.51474530831099,55.833333333333336,44.166666666666664,3.485254691689008,7.6923076923076925,92.3076923076923,0.0
20 OAX,San Sebastián Abasolo,Hombres,    Hombres,0.0,550.0,67.0909090909091,87.39946380697052,97.23926380368098,56.15141955835962,43.84858044164038,2.7607361963190185,11.11111111111111,88.88888888888889,0.0
20 OAX,San Sebastián Abasolo,Mujeres,    Mujeres   ,0.0,134.0,38.80597014925373,12.600536193029491,91.48936170212765,53.48837209302326,46.51162790697674,8.51063829787234,0.0,100.0,0.0
20 OAX,San Sebastián Coatlán,,  San Sebastián Coatlán,662.0,662.0,100.0,0.19383037048366414,92.41274658573596,2.955665024630542,97.04433497536945,7.587253414264036,0.0,100.0,0.0
20 OAX,San Sebastián Coatlán,Hombres,    Hombres,0.0,544.0,100.0,82.09408194233687,92.79112754158965,3.3864541832669324,96.61354581673307,7.208872458410351,0.0,100.0,0.0
20 OAX,San Sebastián Coatlán,Mujeres,    Mujeres   ,0.0,118.0,100.0,17.905918057663126,90.67796610169492,0.9345794392523364,99.06542056074767,9.322033898305085,0.0,100.0,0.0
20 OAX,San Sebastián Ixcapa,,  San Sebastián Ixcapa,847.0,847.0,84.06139315230224,0.20853677188606656,72.91960507757405,15.28046421663443,84.71953578336557,27.080394922425953,3.6458333333333335,96.35416666666667,21.01551480959097
20 OAX,San Sebastián Ixcapa,Hombres,    Hombres,0.0,748.0,85.42780748663101,89.70380818053597,73.74213836477988,13.646055437100213,86.35394456289978,26.257861635220127,4.191616766467066,95.80838323353294,20.12578616352201
20 OAX,San Sebastián Ixcapa,Mujeres,    Mujeres   ,0.0,99.0,73.73737373737374,10.296191819464035,65.75342465753425,31.25,68.75,34.24657534246575,0.0,100.0,28.767123287671232
20 OAX,San Sebastián Nicananduta,,  San Sebastián Nicananduta,368.0,368.0,86.95652173913044,0.0935327129192795,66.35220125786164,85.78199052132702,14.218009478672986,33.64779874213836,47.66355140186916,52.33644859813084,0.0
20 OAX,San Sebastián Nicananduta,Hombres,    Hombres,0.0,262.0,88.54961832061069,72.95597484276729,64.22413793103448,83.89261744966443,16.107382550335572,35.775862068965516,43.373493975903614,56.626506024096386,0.0
20 OAX,San Sebastián Nicananduta,Mujeres,    Mujeres   ,0.0,106.0,83.01886792452831,27.044025157232703,72.09302325581395,90.3225806451613,9.67741935483871,27.906976744186046,62.5,37.5,0.0
20 OAX,San Sebastián Río Hondo,,  San Sebastián Río Hondo,608.0,606.0,96.03960396039604,0.16912361612762802,34.608695652173914,78.89447236180905,21.105527638190956,65.3913043478261,14.893617021276595,85.1063829787234,0.34782608695652173
20 OAX,San Sebastián Río Hondo,Hombres,    Hombres,0.0,547.0,96.52650822669104,90.78260869565217,35.05747126436781,79.23497267759562,20.76502732240437,64.94252873563218,15.044247787610619,84.95575221238938,0.3831417624521073
20 OAX,San Sebastián Río Hondo,Mujeres,    Mujeres   ,0.0,59.0,91.52542372881356,9.217391304347826,30.18867924528302,75.0,25.0,69.81132075471699,13.513513513513514,86.48648648648648,0.0
20 OAX,San Sebastián Tecomaxtlahuaca,,  San Sebastián Tecomaxtlahuaca,747.0,747.0,98.39357429718875,0.2141252044189795,94.64285714285714,48.33091436865022,51.66908563134978,5.357142857142857,20.512820512820515,79.48717948717949,0.27472527472527475
