ENT_FED,CULTIVO,DESCRIPCION,UP_TOTAL,UP_AGCA,TON_AGCA_CUL,UP_SEMILLA,TON_SEMILLA_CUL,UP_CONSFAM,TON_CONSFAM_CUL,UP_CONSANIM,TON_CONSANIM_CUL,UP_VENTA,TON_VENTA_CUL
08 CHI,Sandía,Sandía,277.0,271.0,79223.2138,42.0,3.2408,122.0,39.835152,36.0,89.4508,172.0,79090.6871
08 CHI,Sorgo forrajero,Sorgo forrajero,3742.0,3741.0,360813.7052,74.0,18.8659014,258.0,25.5258,3094.0,237950.9082,1052.0,122818.4053
08 CHI,Sorgo grano,Sorgo grano,1080.0,1080.0,41820.2683,516.0,359.4378272,493.0,13.8190682,853.0,4913.0316,685.0,36533.9796
08 CHI,Soya,Soya,8.0,8.0,154.7154,6.0,1.462,6.0,0.1027,6.0,0.5448,8.0,152.6059
08 CHI,Tomate de cascara (tomatillo),Tomate de cascara (tomatillo),59.0,57.0,7958.6374,4.0,0.0752,15.0,1.5068,0.0,0.0,45.0,7957.0554
08 CHI,Trigo grano,Trigo grano,178.0,178.0,16609.8223,57.0,35.660035,62.0,10.3998705,40.0,261.5809,121.0,16302.1814
08 CHI,Perennes,Perennes,,,,,,,,,,,
08 CHI,Agave,Agave,644.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08 CHI,Aguacate,Aguacate,349.0,349.0,82.0457,9.0,0.0766,44.0,7.3606,2.0,0.0004,22.0,74.6081
08 CHI,Alfalfa,Alfalfa,8312.0,8312.0,10176284.8472,27.0,74.2386404,3732.0,226.8161,5791.0,1135808.3637,6652.0,9040175.4288
08 CHI,Café,Café,5.0,5.0,0.3,0.0,0.0,1.0,0.05,0.0,0.0,1.0,0.25
08 CHI,Caña de azúcar,Caña de azúcar,14.0,14.0,18.2303,2.0,0.05,7.0,13.4303,3.0,3.85,1.0,0.9
08 CHI,Espárrago,Espárrago,14.0,13.0,262.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,262.9
08 CHI,Fresa,Fresa,12.0,5.0,21.025,0.0,0.0,3.0,0.525,0.0,0.0,2.0,20.5
08 CHI,Guayaba,Guayaba,640.0,639.0,94.9015,21.0,0.3073,91.0,22.4587,16.0,0.8788,32.0,71.2567
08 CHI,Limón,Limón,383.0,382.0,40.0044,0.0,0.0,31.0,25.7067598,1.0,0.075,11.0,14.2226
08 CHI,Mango,Mango,244.0,243.0,83.6092,2.0,0.1,63.0,17.1908,0.0,0.0,25.0,66.3184
08 CHI,Manzana,Manzana,3222.0,2962.0,289979.682,717.0,2.1570123,1014.0,158.2794958,694.0,480.1555,1489.0,289339.0894
